benchmark,case,gap_m,phase_rad,l,m,omega_rad_s,B_amplitude_T,Fx_N,Fy_N,Fz_N,taux_Nm,tauy_Nm,tauz_Nm,joule_power_W,stress_radius_over_a,n_mu,n_phi,static_diffusion_ratio,tau_lag_Nm,diffusion_tau_lag_ratio,volume_Fx_N,volume_Fy_N,volume_Fz_N,relative_error,spectral_weight,note
carousel_lmax_convergence,gap_8mm,0.008,0.0,6,nan,34.56,0.020655554749615102,-0.0010630851701706138,4.1943149067792816e-14,-0.10764311295775213,-1.6997837462424262e-17,2.180019838884834e-15,9.535224067244856e-17,nan,1.05,28,56,0.9999389599285622,nan,nan,nan,nan,nan,nan,nan,cumulative spatial harmonics l=1..listed l
carousel_spectral_component,gap_8mm,0.008,0.0,nan,nan,34.55751918950688,nan,-0.0007308679319068133,2.9875756722648895e-14,-0.07400432390591082,9.078088388103002e-18,1.5051370407858786e-15,4.898346796768547e-17,nan,1.05,28,56,nan,nan,nan,nan,nan,nan,nan,0.6874970560136141,weighted independent-frequency contribution
carousel_spectral_component,gap_8mm,0.008,0.0,nan,nan,103.67255756852063,nan,-0.00017575625738763744,5.308160486626604e-15,-0.01779724940100472,-2.1859873218866104e-17,3.43101979452019e-16,1.4211848284709658e-17,nan,1.05,28,56,nan,nan,nan,nan,nan,nan,nan,0.16541513650803208,weighted independent-frequency contribution
carousel_spectral_component,gap_8mm,0.008,0.0,nan,nan,69.11503837901375,nan,-0.00015633518902980173,5.5085411645691975e-15,-0.015830111988096612,-9.009925419065419e-18,3.079168454274529e-16,9.206421365665849e-18,nan,1.05,28,56,nan,nan,nan,nan,nan,nan,nan,0.14708780747835387,weighted independent-frequency contribution
carousel_spectral_sum,gap_8mm,0.008,0.0,nan,nan,nan,nan,-0.0010629593783242524,4.06924583738447e-14,-0.10763168529501214,-2.179171024982852e-17,2.1561558656653504e-15,7.240173761806098e-17,nan,1.05,28,56,0.9998328027153708,nan,nan,nan,nan,nan,nan,nan,offline separable-spectrum sum; not transient simulation
carousel_static_bridge,gap_8mm,0.008,0.1308996938995747,nan,nan,0,0.016087152285920628,-0.005845312699977936,0.04123364364498482,-0.1029507618698723,-6.00240745363777e-14,-3.575130591658429e-15,-7.845235140149728e-16,nan,1.05,28,56,nan,nan,nan,-0.005632178183236757,0.03949698557934485,-0.09948667083499724,0.03620631731408414,nan,l<=6 modal Maxwell stress vs static volume_demag
carousel_single_frequency,gap_8mm,0.008,0.1308996938995747,nan,nan,34.56,0.016087152285920628,-0.002922458415920704,0.020615558983723196,-0.05147208631184883,-2.994695685467342e-14,-1.8024201195463756e-15,-3.518752888964291e-16,nan,1.05,28,56,0.9999363650798979,nan,nan,nan,nan,nan,nan,nan,one-frequency scale estimate; denominator is zero-frequency phasor
carousel_spectral_component,gap_8mm,0.008,0.1308996938995747,nan,nan,34.55751918950688,nan,-0.002009181576758743,0.014173136233795854,-0.03538690813083506,-2.059457246389196e-14,-1.2979814340288077e-15,-2.829099571051489e-16,nan,1.05,28,56,nan,nan,nan,nan,nan,nan,nan,0.6874970560136141,weighted independent-frequency contribution
carousel_spectral_component,gap_8mm,0.008,0.1308996938995747,nan,nan,103.67255756852063,nan,-0.00048316135969645824,0.0034084821478633657,-0.008509975448870421,-4.945208915342884e-15,-3.195210150800397e-16,-7.166070080046758e-17,nan,1.05,28,56,nan,nan,nan,nan,nan,nan,nan,0.16541513650803208,weighted independent-frequency contribution
carousel_spectral_component,gap_8mm,0.008,0.1308996938995747,nan,nan,69.11503837901375,nan,-0.00042977133414367835,0.0030317443547923785,-0.007569473650167421,-4.408402252308901e-15,-2.7561593316784666e-16,-6.290871820947074e-17,nan,1.05,28,56,nan,nan,nan,nan,nan,nan,nan,0.14708780747835387,weighted independent-frequency contribution
carousel_spectral_sum,gap_8mm,0.008,0.1308996938995747,nan,nan,nan,nan,-0.002922114270598879,0.020613362736451597,-0.0514663572298729,-2.9948183631543746e-14,-1.893118382276694e-15,-4.174793761150872e-16,nan,1.05,28,56,0.9998257073408807,nan,nan,nan,nan,nan,nan,nan,offline separable-spectrum sum; not transient simulation
